n,k,seed,train_size,model,test_acc,n_test
128,6,1,5000,LR,0.50855,20000
128,6,1,5000,MLP,0.49535,20000
128,6,1,10000,LR,0.5047,20000
128,6,1,10000,MLP,0.4962,20000
128,6,1,20000,LR,0.5061,20000
128,6,1,20000,MLP,0.50125,20000
128,6,1,50000,LR,0.50425,20000
128,6,1,50000,MLP,0.49885,20000
128,6,1,100000,LR,0.50455,20000
128,6,1,200000,LR,0.50045,20000
128,6,2,1000,LR,0.50005,20000
128,6,2,1000,MLP,0.49695,20000
128,6,2,2000,LR,0.49815,20000
128,6,2,2000,MLP,0.50075,20000
128,6,2,5000,LR,0.50145,20000
128,6,2,5000,MLP,0.49725,20000
128,6,2,10000,LR,0.4999,20000
128,6,2,10000,MLP,0.4975,20000
128,6,2,20000,LR,0.504,20000
128,6,2,20000,MLP,0.49885,20000
128,6,2,50000,LR,0.5035,20000
128,6,2,50000,MLP,0.4974,20000
128,6,2,100000,LR,0.50185,20000
128,6,2,200000,LR,0.4993,20000
128,6,3,1000,LR,0.50345,20000
128,6,3,1000,MLP,0.50655,20000
128,6,3,2000,LR,0.5043,20000
128,6,3,2000,MLP,0.5052,20000
128,6,3,5000,LR,0.4959,20000
128,6,3,5000,MLP,0.5051,20000
128,6,3,10000,LR,0.50245,20000
128,6,3,10000,MLP,0.49455,20000
128,6,3,20000,LR,0.5029,20000
128,6,3,20000,MLP,0.50215,20000
128,6,3,50000,LR,0.50265,20000
128,6,3,50000,MLP,0.4984,20000
128,6,3,100000,LR,0.4988,20000
128,6,3,200000,LR,0.5008,20000
